tempo,average_pitch,average_onset_strength,spectral_centroid,spectral_rolloff,zero_crossing_rate,album,track
[123.046875],1326.1545,1.2191902,3940.3607738764986,9019.232597351074,0.092303466796875,...Baby One More Time (Digital Deluxe Version),...Baby One More Time - Davidson Ospina Radio Mix_preview_30s.wav
[92.28515625],1549.0918,1.2585856,3379.2585364749984,6998.8714027404785,0.09195575714111329,...Baby One More Time (Digital Deluxe Version),...Baby One More Time_preview_30s.wav
[123.046875],1176.628,1.3271457,3512.8022551238855,7993.099765777588,0.07954254150390624,...Baby One More Time (Digital Deluxe Version),Autumn Goodbye_preview_30s.wav
[166.70866935],1395.069,1.2743208,3142.2844036721303,6834.260158538818,0.07479419708251953,...Baby One More Time (Digital Deluxe Version),Born to Make You Happy_preview_30s.wav
[117.45383523],1437.2599,1.3392228,3568.0448684653625,7739.378070831299,0.08569774627685547,...Baby One More Time (Digital Deluxe Version),Deep In My Heart_preview_30s.wav
[143.5546875],1177.8694,1.1664848,3105.3803530136693,7274.715099334717,0.06640682220458985,...Baby One More Time (Digital Deluxe Version),E-Mail My Heart_preview_30s.wav
[74.89809783],961.7791,1.2037796,3295.226540887793,7762.618789672852,0.07170791625976562,...Baby One More Time (Digital Deluxe Version),From the Bottom of My Broken Heart_preview_30s.wav
[101.33272059],1376.2407,1.157733,2983.184148634323,6508.612518310547,0.06965618133544922,...Baby One More Time (Digital Deluxe Version),I Will Be There_preview_30s.wav
[161.49902344],1318.1681,1.1384289,3302.7157060686905,7472.9130935668945,0.07980308532714844,...Baby One More Time (Digital Deluxe Version),I Will Still Love You (with Don Philip)_preview_30s.wav
[75.99954044],1084.1151,1.1721631,2540.7247931220318,5481.327323913574,0.059587860107421876,...Baby One More Time (Digital Deluxe Version),I'll Never Stop Loving You_preview_30s.wav
[92.28515625],1710.9047,1.5359306,3676.298841067991,7527.545185089111,0.10406360626220704,...Baby One More Time (Digital Deluxe Version),Soda Pop_preview_30s.wav
[95.703125],1258.1461,1.1595325,3007.8496513638847,6508.461112976074,0.07153663635253907,...Baby One More Time (Digital Deluxe Version),Sometimes_preview_30s.wav
[103.359375],1555.8676,1.3385403,2883.015207474654,6188.903331756592,0.05097179412841797,...Baby One More Time (Digital Deluxe Version),The Beat Goes On_preview_30s.wav
[97.50884434],1260.1176,1.3340365,2977.720562357927,6764.756698608398,0.0646524429321289,...Baby One More Time (Digital Deluxe Version),Thinkin' About You_preview_30s.wav
[132.51201923],1587.2778,1.3096409,3270.7480267172505,6911.367530822754,0.077593994140625,.5 The Gray Chapter (Special Edition),AOV_preview_30s.wav
[132.51201923],555.4529,1.0242667,1089.9556111950874,1862.7314186096191,0.019400405883789062,.5 The Gray Chapter (Special Edition),Be Prepared for Hell_preview_30s.wav
[129.19921875],1654.8496,1.2948179,3092.888376949595,6479.727745056152,0.07542190551757813,.5 The Gray Chapter (Special Edition),Custer_preview_30s.wav
[135.99917763],1555.4081,1.1985544,3049.3109767515693,6410.400924682617,0.0688028335571289,.5 The Gray Chapter (Special Edition),Goodbye_preview_30s.wav
[126.04801829],1386.5144,1.0931053,2195.8344750510955,4702.397346496582,0.051990509033203125,.5 The Gray Chapter (Special Edition),If Rain Is What You Want_preview_30s.wav
[161.49902344],1594.7098,1.2155206,2985.739950939849,6201.512031555176,0.07447471618652343,.5 The Gray Chapter (Special Edition),Killpop_preview_30s.wav
[147.65625],1520.251,1.296431,3198.295489667714,6835.732154846191,0.07604618072509765,.5 The Gray Chapter (Special Edition),Lech_preview_30s.wav
[92.28515625],1691.0896,1.3456138,3175.6958805759095,6549.811592102051,0.07834644317626953,.5 The Gray Chapter (Special Edition),Nomadic_preview_30s.wav
[135.99917763],1496.4347,1.2042673,3139.057212526398,6714.700412750244,0.07295207977294922,.5 The Gray Chapter (Special Edition),Override_preview_30s.wav
[101.33272059],1654.73,1.2439435,3027.4369729213076,6435.980014801025,0.07808418273925781,.5 The Gray Chapter (Special Edition),Sarcastrophe_preview_30s.wav
[184.5703125],1634.8413,1.2261465,3202.4063092813562,6742.424411773682,0.07958774566650391,.5 The Gray Chapter (Special Edition),Skeptic_preview_30s.wav
[114.84375],1475.8766,1.197758,2730.443777889597,5794.307384490967,0.0658304214477539,.5 The Gray Chapter (Special Edition),The Burden_preview_30s.wav
[92.28515625],1668.5928,1.2697846,3400.549488208037,7082.792015075684,0.08676319122314453,.5 The Gray Chapter (Special Edition),The Devil in I_preview_30s.wav
[107.66601562],1603.1292,1.3829286,3528.396853054043,7339.878273010254,0.08481693267822266,.5 The Gray Chapter (Special Edition),The Negative One_preview_30s.wav
[161.49902344],1654.0116,1.2434454,3149.6706095281647,6606.857757568359,0.07631397247314453,.5 The Gray Chapter (Special Edition),The One That Kills the Least_preview_30s.wav
[132.51201923],1257.0284,1.013952,2020.5240081470881,3941.0135650634766,0.05362148284912109,.5 The Gray Chapter (Special Edition),XIX_preview_30s.wav
[80.74951172],1171.8984,1.1345017,3152.1130488932904,7228.107490539551,0.06805667877197266,1000 Forms Of Fear,Big Girls Cry_preview_30s.wav
[120.18531977],1244.4799,1.3023123,3324.2407297646737,7485.6647872924805,0.08011875152587891,1000 Forms Of Fear,Burn the Pages_preview_30s.wav
[117.45383523],1211.7101,1.0311702,2503.3661449833435,5572.145290374756,0.05955314636230469,1000 Forms Of Fear,Cellophane_preview_30s.wav
[87.59269068],1259.1622,1.2410736,2805.8945523318225,6004.399108886719,0.06053295135498047,1000 Forms Of Fear,Chandelier_preview_30s.wav
[87.59269068],1268.8541,1.209152,3014.2912132406373,6701.578617095947,0.06968269348144532,1000 Forms Of Fear,Dressed In Black_preview_30s.wav
[129.19921875],1340.9111,1.2477397,2974.267234906234,6669.842376708984,0.06513233184814453,1000 Forms Of Fear,Elastic Heart_preview_30s.wav
[143.5546875],1221.6111,1.1935998,2524.0479622857015,5433.129959106445,0.058226394653320315,1000 Forms Of Fear,Eye of the Needle_preview_30s.wav
[132.51201923],1180.29,1.26463,1443.9032546172975,2555.822982788086,0.046881484985351565,1000 Forms Of Fear,Fair Game_preview_30s.wav
[87.59269068],1235.5988,1.2161111,3166.3161163547893,7401.525478363037,0.06846733093261718,1000 Forms Of Fear,Fire Meet Gasoline_preview_30s.wav
[143.5546875],1563.5905,1.3461316,3413.885278076955,7671.169967651367,0.09295520782470704,1000 Forms Of Fear,Free the Animal_preview_30s.wav
[143.5546875],1368.3086,1.1532333,3466.7736308063004,7831.449337005615,0.07902088165283203,1000 Forms Of Fear,Hostage_preview_30s.wav
[84.72079918],1285.6041,1.0815504,2828.8440831027924,6289.470119476318,0.06940135955810547,1000 Forms Of Fear,Straight for the Knife_preview_30s.wav
[120.18531977],1347.3278,0.97132456,2721.4146877711732,6005.307540893555,0.06354827880859375,1984 (Remastered),1984 - 2015 Remaster_preview_30s.wav
[89.10290948],1710.3193,1.0944086,3829.9141738989797,8343.603115081787,0.10904178619384766,1984 (Remastered),Drop Dead Legs - 2015 Remaster_preview_30s.wav
[103.359375],1725.6372,1.156265,3817.374622445395,8189.287433624268,0.10962600708007812,1984 (Remastered),Girl Gone Bad - 2015 Remaster_preview_30s.wav
[126.04801829],1552.38,1.1719439,3800.85277013867,8191.735153198242,0.10258464813232422,1984 (Remastered),Hot for Teacher - 2015 Remaster_preview_30s.wav
[97.50884434],1766.414,1.2681165,3515.737266901542,7390.498123168945,0.11055889129638671,1984 (Remastered),House of Pain - 2015 Remaster_preview_30s.wav
[114.84375],1647.3184,1.1280948,3828.7420393595544,8337.1683883667,0.10360088348388671,1984 (Remastered),I'll Wait - 2015 Remaster_preview_30s.wav
[129.19921875],1557.3746,1.1450645,3677.0955693680908,7999.551315307617,0.10081748962402344,1984 (Remastered),Jump - 2015 Remaster_preview_30s.wav
[139.67483108],1682.7668,1.0897187,3735.183711124521,7974.661960601807,0.10416603088378906,1984 (Remastered),Panama - 2015 Remaster_preview_30s.wav
[90.66611842],1665.1837,1.2163833,3858.0056349062966,8212.124404907227,0.10949993133544922,1984 (Remastered),Top Jimmy - 2015 Remaster_preview_30s.wav
[95.703125],1211.6493,1.1526129,2051.3624636404343,4516.580944061279,0.04590549468994141,2,Annie_preview_30s.wav
[143.5546875],1354.0771,1.2240553,2395.0934326676957,5278.410530090332,0.05376358032226562,2,Boe Zaah_preview_30s.wav
[97.50884434],1482.7196,1.1735079,2553.319560482372,5238.288116455078,0.05927467346191406,2,Cooking Up Something Good_preview_30s.wav
[82.03125],1388.8859,1.1106069,3205.3209470840256,7037.261066436768,0.07223052978515625,2,Dreaming_preview_30s.wav
[143.5546875],1197.2814,1.2118438,3009.0640529126804,6841.33415222168,0.06319580078125,2,Freaking Out the Neighborhood_preview_30s.wav
[92.28515625],1487.0112,1.076182,2690.9377739059955,5756.371936798096,0.0621978759765625,2,My Kind of Woman_preview_30s.wav
[95.703125],1224.5784,1.0746949,1958.4650790307082,4198.007297515869,0.04893970489501953,2,Ode to Viceroy_preview_30s.wav
[178.20581897],2002.6592,1.1004417,3627.7444148123477,7190.7692527771,0.11036128997802734,2,Robson Girl_preview_30s.wav
[161.49902344],1323.6904,1.2202101,2535.9816111748214,5560.3693199157715,0.05780487060546875,2,Sherrill_preview_30s.wav
[97.50884434],1372.2432,1.0053211,2136.9379877388214,4456.287975311279,0.03573188781738281,2,Still Together_preview_30s.wav
[135.99917763],1158.5819,1.2055843,2428.3040396266015,5463.1586837768555,0.052105712890625,2,The Stars Keep On Calling My Name_preview_30s.wav
[166.70866935],1653.1871,1.0619164,3104.0511669459725,6503.599319458008,0.07931137084960938,21st Century Breakdown,21 Guns_preview_30s.wav
[80.74951172],1711.213,1.2172716,3178.314211031251,6477.507133483887,0.08517208099365234,21st Century Breakdown,21st Century Breakdown_preview_30s.wav
[90.66611842],1806.3917,1.112951,3177.9218640460595,6419.073085784912,0.08986473083496094,21st Century Breakdown,American Eulogy Mass Hysteria  Modern World_preview_30s.wav
[135.99917763],1661.5066,1.0570803,3069.8343523212957,6230.480918884277,0.0789398193359375,21st Century Breakdown,Before the Lobotomy_preview_30s.wav
[90.66611842],1971.7655,1.1467911,3071.91372236745,5865.316486358643,0.09552803039550781,21st Century Breakdown,Christian's Inferno_preview_30s.wav
[143.5546875],1761.7948,1.1098694,3085.398653611489,6264.429359436035,0.08077507019042969,21st Century Breakdown,East Jesus Nowhere_preview_30s.wav
[143.5546875],1639.8123,1.1259139,3227.3393253228633,6694.689674377441,0.08115634918212891,21st Century Breakdown,Horseshoes and Handgrenades_preview_30s.wav
[129.19921875],1649.3601,1.1275154,2960.7378567845108,5986.457576751709,0.07237529754638672,21st Century Breakdown,Know Your Enemy_preview_30s.wav
[120.18531977],1227.42,0.9838282,2347.7231470812326,4930.85958480835,0.053127288818359375,21st Century Breakdown,Last Night on Earth_preview_30s.wav
[123.046875],1759.9618,1.1328417,2927.0098829094104,5739.750995635986,0.07912254333496094,21st Century Breakdown,Last of the American Girls_preview_30s.wav
[90.66611842],1908.1001,1.1497523,3177.8411460876146,6055.666637420654,0.09274635314941407,21st Century Breakdown,Murder City_preview_30s.wav
[99.38401442],1501.6399,1.2007697,2841.958382558475,6085.51872253418,0.06626529693603515,21st Century Breakdown,Peacemaker_preview_30s.wav
[82.03125],1147.3027,1.0765667,2415.158336186779,5181.082134246826,0.05077304840087891,21st Century Breakdown,Restless Heart Syndrome_preview_30s.wav
[70.79409247],1708.5929,1.0868232,3150.371713107955,6293.785171508789,0.08242340087890625,21st Century Breakdown,See the Light_preview_30s.wav
[178.20581897],1871.8959,0.8104321,1807.842074521634,2603.4315490722656,0.07658920288085938,21st Century Breakdown,Song of the Century_preview_30s.wav
[78.30255682],1653.5714,1.0700876,3426.6098691249413,7140.940074920654,0.08791561126708984,21st Century Breakdown,The Static Age_preview_30s.wav
[90.66611842],1579.0784,1.1389853,3019.1655671241156,6142.573299407959,0.07170162200927735,21st Century Breakdown,¡Viva La Gloria!_preview_30s.wav
[95.703125],1687.8666,1.0866344,3206.200854923585,6558.080005645752,0.08102912902832031,21st Century Breakdown,¿Viva La Gloria (Little Girl)_preview_30s.wav
[107.66601562],1468.746,1.4148209,3275.780335493056,7077.492828369141,0.07365341186523437,24K Magic,24K Magic_preview_30s.wav
[79.50721154],1162.6964,1.1686044,2329.447651345905,4911.9927978515625,0.050832939147949216,24K Magic,Calling All My Lovelies_preview_30s.wav
[101.33272059],1303.7113,1.4283335,2711.9199743137606,5697.357501983643,0.058147430419921875,24K Magic,Chunky_preview_30s.wav
[105.46875],1570.0409,1.4058108,3520.2890320935244,7348.80277633667,0.09384441375732422,24K Magic,Finesse_preview_30s.wav
[123.046875],1607.1332,1.4675934,3023.8565216264274,6381.617088317871,0.06781330108642578,24K Magic,Perm_preview_30s.wav
[143.5546875],1166.9639,1.286197,3618.015432390169,8511.191997528076,0.08155593872070313,24K Magic,Straight up & Down_preview_30s.wav
[132.51201923],1461.7086,1.4197838,3455.5998817617924,7348.188743591309,0.08155097961425781,24K Magic,That's What I Like_preview_30s.wav
[151.99908088],1262.6487,1.1574037,2737.5805124077788,5731.448936462402,0.06549396514892578,24K Magic,Too Good to Say Goodbye_preview_30s.wav
[87.59269068],1253.0613,1.3096993,2882.720279903037,6306.780796051025,0.06472930908203126,24K Magic,Versace on the Floor_preview_30s.wav
[129.19921875],1482.21,1.4046456,2907.544579994088,6101.971435546875,0.06413516998291016,96 Months,Body Moving_preview_30s.wav
[123.046875],1381.9492,1.3093519,3072.3697622225177,6665.4179763793945,0.061303901672363284,96 Months,By Your Side (feat. Tom Grennan)_preview_30s.wav
[139.67483108],1392.1757,1.2732897,2679.436974470875,5732.9461669921875,0.059592819213867186,96 Months,Desire (with Sam Smith)_preview_30s.wav
[92.28515625],1647.2867,1.2484953,4358.764117277557,9268.12614440918,0.1046529769897461,96 Months,Free (with Ellie Goulding)_preview_30s.wav
[123.046875],1629.7811,1.2013623,2822.5931893588163,5634.465408325195,0.07540931701660156,96 Months,Giant (with Rag'n'Bone Man)_preview_30s.wav
[123.046875],1630.2886,1.335871,3147.594422668648,6595.8892822265625,0.07676162719726562,96 Months,How Deep Is Your Love_preview_30s.wav
[93.96306818],1242.0787,1.1015337,3690.959663678115,7932.4787521362305,0.08208217620849609,96 Months,Hypnagogic (I Can't Wait) [edit]_preview_30s.wav
[129.19921875],1402.5374,1.2242854,3351.3407909572134,7228.317775726318,0.07324676513671875,96 Months,I'm Not Alone - 2019 Edit_preview_30s.wav
[129.19921875],905.21466,1.5060356,2445.4666446190836,5675.395317077637,0.04254016876220703,96 Months,Live Without Your Love (with Steve Lacy)_preview_30s.wav
[123.046875],1384.5508,1.1987553,2847.1974507870445,5701.218338012695,0.07705345153808593,96 Months,Lonely (feat. Sananda Maitreya)_preview_30s.wav
[129.19921875],1429.9722,1.3436415,2796.600165109138,6086.014995574951,0.058573341369628905,96 Months,Lovers In A Past Life (with Rag'n'Bone Man)_preview_30s.wav
[143.5546875],1409.5173,1.2291597,3624.6109115398785,7970.388965606689,0.08630161285400391,96 Months,Miracle (with Ellie Goulding)_preview_30s.wav
[120.18531977],1364.6282,1.2517531,2590.98870157574,5542.091331481934,0.057593345642089844,96 Months,My Way_preview_30s.wav
[114.84375],1395.2052,1.3649019,2960.536298924732,6458.320713043213,0.05986480712890625,96 Months,Nuh Ready Nuh Ready (feat. PARTYNEXTDOOR)_preview_30s.wav
[123.046875],1183.715,1.4371783,2992.903290954583,6456.680488586426,0.06346912384033203,96 Months,One Kiss (with Dua Lipa)_preview_30s.wav
[123.046875],1519.3541,1.272671,3166.0579583836225,6631.452713012695,0.07741527557373047,96 Months,Promises (with Sam Smith)_preview_30s.wav
[123.046875],1140.7865,1.2943224,3206.3543117390136,7303.801746368408,0.06810798645019531,96 Months,This Is What You Came For_preview_30s.wav
[120.18531977],1835.4463,1.1216688,3370.8990245750256,6697.650489807129,0.09887886047363281,A Hangover You Don't Deserve,1985_preview_30s.wav
[92.28515625],1810.433,1.0122142,3226.895072772554,6583.440399169922,0.08743152618408204,A Hangover You Don't Deserve,A-hole - Dirty_preview_30s.wav
[139.67483108],1806.7289,1.0823916,3226.6958674488556,6441.624069213867,0.09126167297363282,A Hangover You Don't Deserve,Almost_preview_30s.wav
[135.99917763],1753.2058,1.064373,3123.6418041633688,6132.816066741943,0.08279247283935547,A Hangover You Don't Deserve,Down For The Count_preview_30s.wav
[151.99908088],1333.5842,1.2273518,3015.705351074438,6143.2378005981445,0.08241081237792969,A Hangover You Don't Deserve,Friends O' Mine_preview_30s.wav
[105.46875],1720.8247,0.97927505,3035.995646027507,6003.322448730469,0.07955722808837891,A Hangover You Don't Deserve,Get Happy - Dirty_preview_30s.wav
[143.5546875],1875.6678,1.1004809,3098.4703356000005,6087.108478546143,0.08875541687011719,A Hangover You Don't Deserve,Last Call Casualty_preview_30s.wav
[99.38401442],1959.7053,1.1257753,3246.907506700416,6107.691192626953,0.09418621063232421,A Hangover You Don't Deserve,My Hometown - Dirty_preview_30s.wav
[143.5546875],1854.6978,1.13626,3290.712090042261,6419.569358825684,0.09406185150146484,A Hangover You Don't Deserve,Next Ex-Girlfriend - Dirty_preview_30s.wav
[74.89809783],1835.7325,1.1221416,3534.869301884435,6936.643810272217,0.09683456420898437,A Hangover You Don't Deserve,Ohio (Come Back To Texas)_preview_30s.wav
[90.66611842],1734.5149,1.0878028,2995.7110696182,5871.734390258789,0.0730966567993164,A Hangover You Don't Deserve,Really Might Be Gone - Dirty_preview_30s.wav
[123.046875],1748.4581,0.92061245,2620.8875690929613,5068.966484069824,0.07781410217285156,A Hangover You Don't Deserve,Ridiculous_preview_30s.wav
[161.49902344],1782.8766,1.0736684,3035.7674487695235,5927.047805786133,0.07687644958496094,A Hangover You Don't Deserve,Sad Sad Situation - Dirty_preview_30s.wav
[123.046875],1773.2051,1.0282329,3137.801082076311,6360.462398529053,0.08534755706787109,A Hangover You Don't Deserve,Shut-Up And Smile_preview_30s.wav
[135.99917763],1933.4952,1.0696828,3444.60340835534,6601.339874267578,0.10067920684814453,A Hangover You Don't Deserve,Smoothie King_preview_30s.wav
[132.51201923],1817.8302,1.0425127,3156.005682966029,6203.698997497559,0.08432941436767578,A Hangover You Don't Deserve,Trucker Hat_preview_30s.wav
[139.67483108],1714.3752,1.0648562,2840.556077407908,5747.80912399292,0.07937984466552735,A Hangover You Don't Deserve,Two-Seater_preview_30s.wav
[129.19921875],1839.523,1.0696775,3315.673202618018,6630.418109893799,0.09899654388427734,Ace of Spades (Expanded Edition),(We Are) The Roadcrew - Alternate Version_preview_30s.wav
[132.51201923],1804.3511,1.0483025,3380.842632997713,7136.196041107178,0.09385414123535156,Ace of Spades (Expanded Edition),(We Are) The Roadcrew_preview_30s.wav
[126.04801829],2029.4346,1.0600235,3912.3461919738256,7584.187602996826,0.1307668685913086,Ace of Spades (Expanded Edition),Ace of Spades - Alternate Version_preview_30s.wav
[139.67483108],2018.1461,1.0363859,3416.233488544354,6428.788261413574,0.11117801666259766,Ace of Spades (Expanded Edition),Ace of Spades_preview_30s.wav
[126.04801829],1913.2603,1.0569099,3626.8849462346625,7630.097064971924,0.09917640686035156,Ace of Spades (Expanded Edition),Bite the Bullet  The Chase Is Better Than the Catch - BBC Radio 1 David Jensen Session_preview_30s.wav
[132.51201923],1529.001,1.0490417,2945.0439589079606,6093.694610595703,0.07006320953369141,Ace of Spades (Expanded Edition),Bite the Bullet_preview_30s.wav
[109.95678191],1805.9066,1.0259537,3607.8631029167764,7475.5206298828125,0.09930572509765626,Ace of Spades (Expanded Edition),Dance_preview_30s.wav
[65.41732595],2023.1351,1.0643173,3298.222746447938,6161.398029327393,0.10198535919189453,Ace of Spades (Expanded Edition),Dirty Love - Alternate Long Version_preview_30s.wav
[129.19921875],2121.1768,1.0793489,3056.9802185966582,5465.320415496826,0.09730758666992187,Ace of Spades (Expanded Edition),Dirty Love - Alternate Version_preview_30s.wav
[139.67483108],1943.6891,1.0326536,3062.1800308983793,5843.354301452637,0.09368324279785156,Ace of Spades (Expanded Edition),Dirty Love_preview_30s.wav
[67.11647727],1954.9059,1.0771043,3432.2804662958997,6538.170204162598,0.10895404815673829,Ace of Spades (Expanded Edition),Fast and Loose - Alternate Version_preview_30s.wav
[139.67483108],2052.7554,1.1165148,3366.647288238529,6460.272159576416,0.10153446197509766,Ace of Spades (Expanded Edition),Fast and Loose - BBC Radio 1 David Jensen Session_preview_30s.wav
[69.83741554],1853.2672,1.0525802,3127.3439955458425,6277.500686645508,0.08506488800048828,Ace of Spades (Expanded Edition),Fast and Loose_preview_30s.wav
[126.04801829],1693.8345,1.1282604,2850.126507466016,6064.70890045166,0.08346939086914062,Ace of Spades (Expanded Edition),Fire Fire - Alternate Version_preview_30s.wav
[132.51201923],1864.7156,1.0330381,3124.8884989475746,6153.390369415283,0.08650188446044922,Ace of Spades (Expanded Edition),Fire Fire_preview_30s.wav
[73.828125],1827.4419,0.9983746,2691.2889934481195,5516.268310546875,0.08351974487304688,Ace of Spades (Expanded Edition),Jailbait - Alternate Version_preview_30s.wav
[77.13386194],1883.4604,1.0447487,3341.2944656644054,6781.772975921631,0.09680633544921875,Ace of Spades (Expanded Edition),Jailbait_preview_30s.wav
[103.359375],2008.959,1.1400665,3216.651896014887,6241.63444519043,0.09348697662353515,Ace of Spades (Expanded Edition),Live to Win - BBC Radio 1 David Jensen Session_preview_30s.wav
[103.359375],2011.1102,1.0303926,3619.148478122255,6929.157657623291,0.11144390106201171,Ace of Spades (Expanded Edition),Live to Win_preview_30s.wav
[97.50884434],1947.544,1.0868422,3284.7158477063713,6259.727382659912,0.10053386688232421,Ace of Spades (Expanded Edition),Love Me Like a Reptile - Alternate Long Version_preview_30s.wav
[101.33272059],1922.011,1.0582111,2673.7175476713824,5079.043350219727,0.08588390350341797,Ace of Spades (Expanded Edition),Love Me Like a Reptile - Alternate Version_preview_30s.wav
[99.38401442],1850.4885,1.007423,3520.986917255089,7164.752769470215,0.0957977294921875,Ace of Spades (Expanded Edition),Love Me Like a Reptile_preview_30s.wav
[59.40193966],1830.2388,1.0722729,3205.7750930826887,6507.771377563477,0.08875408172607421,Ace of Spades (Expanded Edition),Shoot You in the Back - Alternate Version_preview_30s.wav
[129.19921875],1903.524,1.0188044,3721.2393880574286,7329.111671447754,0.11667060852050781,Ace of Spades (Expanded Edition),Shoot You in the Back_preview_30s.wav
[120.18531977],1708.825,1.0222279,3092.5385921760303,6347.50883102417,0.08327236175537109,Ace of Spades (Expanded Edition),The Chase Is Better Than the Catch_preview_30s.wav
[132.51201923],2028.1044,1.1174754,3156.7430441508104,5848.594608306885,0.11065425872802734,Ace of Spades (Expanded Edition),The Hammer - Alternate Version_preview_30s.wav
[139.67483108],2029.892,1.0779526,3366.834770647355,6439.849262237549,0.10226936340332031,Ace of Spades (Expanded Edition),The Hammer_preview_30s.wav
[89.10290948],868.33075,0.9714225,1369.3717628298966,2873.462963104248,0.027092552185058592,After Laughter,26_preview_30s.wav
[92.28515625],1475.0797,1.2384678,2823.605431965406,5859.478969573975,0.06392230987548828,After Laughter,Caught in the Middle_preview_30s.wav
[99.38401442],1302.2473,1.0635386,2366.7118608827122,4735.908393859863,0.052625274658203124,After Laughter,Fake Happy_preview_30s.wav
[112.34714674],918.8042,1.2352965,1773.0042614143385,3815.633125305176,0.03119792938232422,After Laughter,Forgiveness_preview_30s.wav
[103.359375],1360.4939,1.1166273,2579.2395968345822,5354.903869628906,0.05411224365234375,After Laughter,Grudges_preview_30s.wav
[120.18531977],1460.5692,1.2979386,3053.387844720509,6404.925098419189,0.06788749694824218,After Laughter,Hard Times_preview_30s.wav
[120.18531977],1372.5166,1.1945213,2645.2104218489208,5562.573108673096,0.05594444274902344,After Laughter,Idle Worship_preview_30s.wav
[120.18531977],987.3014,1.1501006,2388.6101081935585,5253.218364715576,0.041655540466308594,After Laughter,No Friend_preview_30s.wav
[114.84375],1332.2107,1.1609695,2724.3290664590504,5747.186679840088,0.06010761260986328,After Laughter,Pool_preview_30s.wav
[114.84375],1574.982,1.3726584,2906.8760049375737,5881.466388702393,0.06453208923339844,After Laughter,Rose-Colored Boy_preview_30s.wav
[112.34714674],801.8417,1.0008522,1274.233290913055,2483.880214691162,0.022945976257324217,After Laughter,Tell Me How_preview_30s.wav
[123.046875],1375.0679,1.3435146,2962.456330570092,6281.512928009033,0.0647085189819336,After Laughter,Told You So_preview_30s.wav
[97.50884434],1644.001,0.9949727,2665.107173335537,5394.715061187744,0.0737039566040039,Agents Of Fortune,(Don't Fear) The Reaper_preview_30s.wav
